aoi,trialnum,layout,target,stimulus,part4,fixations,x1,y1,x2,y2,x3,y3,x4,y4
26C-WIDE-SLIDE-T,26,WIDE,D,SLIDE,T,0,545.320000,736.320000,398.810000,734.760000,397.200000,608.790000,545.320000,605.680000
15C-CORNERS-LADDER,15,CORN,C,LADDER,,0,142.430000,597.500000,-4.080000,595.950000,-5.690000,469.980000,142.430000,466.870000
9C-CLOCK-BALL,9,CLOC,C,BALL,,0,796.160000,379.990000,649.650000,378.430000,648.040000,252.470000,796.160000,249.360000
1C-WIDE-SLIDE,1,WIDE,C,SLIDE,,0,542.210000,738.400000,395.700000,736.840000,394.090000,610.870000,542.210000,607.760000
5C-CLOCK-CLIMBING,5,CLOC,C,CLIMBING,,0,260.000000,129.200000,113.490000,127.640000,111.880000,1.680000,260.000000,-1.430000
19C-SOC-GIRL,19,SOC,C,GIRL,,0,151.060000,605.820000,4.550000,604.260000,2.940000,478.290000,151.060000,475.180000
28C-CORNERS-BALL,28,CORN,C,BALL,,16,298.220000,600.200000,151.710000,598.640000,150.100000,472.680000,298.220000,469.570000
32B-WIDE-GIRL-3-T,32,WIDE,B,GIRL,3,10,147.400000,128.370000,0.890000,126.810000,-0.720000,0.850000,147.400000,-2.260000
9B-CLOCK-HOT-1,9,CLOC,B,HOT,1,16,689.850000,763.050000,543.340000,761.490000,541.730000,635.530000,689.850000,632.420000
21C-SOC-BABY,21,SOC,C,BABY,,0,148.060000,284.820000,1.550000,283.260000,-0.060000,157.290000,148.060000,154.180000
10C-CORNERS-HAPPY,10,CORN,C,HAPPY,,0,592.900000,738.300000,446.390000,736.740000,444.780000,610.780000,592.900000,607.670000
6C-CORNERS-GIRL,6,CORN,C,GIRL,,0,145.210000,132.030000,-1.300000,130.480000,-2.910000,4.510000,145.210000,1.400000
29C-WIDE-SWING,29,WIDE,C,SWING,,0,539.780000,529.560000,393.270000,528.000000,391.660000,402.040000,539.780000,398.920000
28C-CORNERS-SAD,28,CORN,C,SAD,,0,740.010000,594.380000,593.500000,592.830000,591.890000,466.860000,740.010000,463.750000
26B-WIDE-CLIMBING-1,26,WIDE,B,CLIMBING,1,10,340.050000,322.650000,193.540000,321.090000,191.930000,195.130000,340.050000,192.020000
25C-CORNERS-GIRL,25,CORN,C,GIRL,,0,147.160000,130.510000,0.650000,128.950000,-0.960000,2.990000,147.160000,-0.120000
14C-SOC-SLIDE,14,SOC,C,SLIDE,,0,443.060000,440.820000,296.550000,439.260000,294.940000,313.290000,443.060000,310.180000
